data_ID,video_ID,loop,distance,velocity,ANGLE,Not.moving,Straight.swimming
1,b2c9a1,0,0.262539963,32.81749543,16.33177998,0,0
1,b2c9a1,0,0.114795206,14.34940074,13.59425642,0,0
1,b2c9a1,0,0.185648933,23.20611668,13.21103655,0,0
1,b2c9a1,0,0.494267821,61.78347763,11.24295543,0,0
1,b2c9a1,0,0.445738571,55.71732143,7.978194776,0,0
1,b2c9a1,0,0.09551,11.93875,88.34501053,0,0
1,b2c9a1,0,0.13878046,17.34755751,23.09687597,0,0
1,b2c9a1,0,0.428340348,53.54254345,8.960197266,0,0
1,b2c9a1,0,1.95360397,244.2004962,4.110201005,0,0
1,b2c9a1,0,1.007328266,125.9160333,8.171430202,0,0
1,b2c9a1,0,1.065994134,133.2492668,7.930085945,0,0
1,b2c9a1,0,0.256684922,32.08561525,5.020059185,0,0
1,b2c9a1,0,0.12735,15.91875,78.95093863,0,0
1,b2c9a1,0,0.171463647,21.43295593,7.031957236,0,0
1,b2c9a1,0,0.09552,11.94,106.7494882,0,0
1,b2c9a1,0,0.225123,28.14037502,25.66594507,0,0
1,b2c9a1,0,0.077987671,9.748458933,0,0,2
1,b2c9a1,0,0.06368,7.96,160.2276469,0,0
1,b2c9a1,0,0.171450649,21.43133111,2.310392068,0,0
1,b2c9a1,0,0.03184,3.98,326.4519887,0,0
2,b2c5a2,0,0.03191,3.98875,0,0,2
2,b2c5a2,0,0,0,10.89874953,0,0
2,b2c5a2,0,0.045120484,5.640060533,0,0,2
2,b2c5a2,0,0.0319,3.9875,0,0,2
2,b2c5a2,0,0,0,205.9198023,0,0
2,b2c5a2,0,0.100876657,12.60958217,0,0,2
2,b2c5a2,1,0,0,118.1031766,0,0
2,b2c5a2,1,0.071308211,8.913526414,0,0,2
2,b2c5a2,1,0.03191,3.98875,8.838437956,0,0
2,b2c5a2,1,0.1595,19.9375,0,0,2
2,b2c5a2,1,0.171786757,21.47334467,41.95267892,0,0
2,b2c5a2,1,0.159508,19.93850001,28.29488959,0,0
2,b2c5a2,1,0.514360882,64.29511026,7.889605511,0,0
2,b2c5a2,0,0.782704759,97.83809492,12.30319392,0,0
2,b2c5a2,0,0.384134341,48.01679265,11.20776465,0,0
2,b2c5a2,0,0,0,13.27360143,0,0
2,b2c5a2,0,0.071330568,8.91632106,0,0,2
2,b2c5a2,0,0.0957,11.9625,7.969670334,0,0
2,b2c5a2,0,0,0,119.8889808,0,0
2,b2c5a2,1,0.0957,11.9625,0,0,2
2,b2c5a2,1,0.0319,3.9875,119.1991551,0,0
2,b2c5a2,1,0.071330568,8.91632106,245.6144482,0,0
2,b2c5a2,0,0.071330568,8.91632106,20.18402015,0,0
2,b2c5a2,0,0.100876657,12.60958217,13.46177565,0,0
2,b2c5a2,0,0.0319,3.9875,11.91704689,0,0
2,b2c5a2,0,0,0,0.7325601,0,0
3,b2c5a1,0,0.044873016,5.609127049,0,0,2
3,b2c5a1,0,0.229068993,28.63362414,16.98333056,0,0
3,b2c5a1,0,0.114573339,14.32166737,0,0,2
3,b2c5a1,0,0,0,14.56583542,0,0
3,b2c5a1,0,0.070999631,8.874953873,0,0,2
3,b2c5a1,0,0.03177,3.97125,20.86508196,0,0
3,b2c5a1,0,0.071044359,8.880544835,31.1075498,0,0
3,b2c5a1,0,0.07109355,8.886693793,0,0,2
3,b2c5a1,0,0,0,4.644796511,0,0
3,b2c5a1,0,0.131010469,16.37630858,0,0,2
