Precon,ID,atan.XY,degree.XY
f2,b10c9a1,0.79,45.00
f2,b10c9a1,0.79,45.00
f2,b10c9a1,1.11,63.43
f2,b10c9a1,1.11,63.43
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b10c9a1,n/a,n/a
f2,b1c2a1,-0.79,-45.00
f2,b1c2a1,-0.64,-36.87
f2,b1c2a1,-0.46,-26.57
f2,b1c2a1,-0.38,-21.80
f2,b1c2a1,-0.24,-14.04
f2,b1c2a1,0.00,0.00
f2,b1c2a1,0.00,0.00
f2,b1c2a1,0.00,0.00
f2,b1c2a1,0.46,26.57
f2,b1c2a1,0.59,33.69
f2,b1c2a1,0.62,35.54
f2,b1c2a1,0.90,51.34
f2,b1c2a1,1.11,63.43
f2,b1c2a1,1.33,75.96
f2,b1c2a1,n/a,n/a
f2,b1c2a1,n/a,n/a
f2,b1c2a1,n/a,n/a
f2,b1c2a1,n/a,n/a
f2,b1c2a1,n/a,n/a
f2,b1c2a2,-0.98,-56.31
f2,b1c2a2,-0.46,-26.57
f2,b1c2a2,-0.24,-14.04
f2,b1c2a2,-0.22,-12.53
f2,b1c2a2,-0.17,-9.46
f2,b1c2a2,-0.15,-8.53
f2,b1c2a2,0.00,0.00
f2,b1c2a2,0.00,0.00
f2,b1c2a2,0.00,0.00
f2,b1c2a2,0.00,0.00
f2,b1c2a2,0.00,0.00
f2,b1c2a2,0.00,0.00
f2,b1c2a2,0.00,0.00
f2,b1c2a2,0.00,0.00
f2,b1c2a2,0.24,14.04
f2,b1c2a2,0.46,26.57
f2,b1c2a2,0.79,45.00
f2,b1c2a2,0.79,45.00
f2,b1c2a2,0.79,45.00
f2,b1c2a2,n/a,n/a
f2,b1c2a2,n/a,n/a
f2,b1c2a3,-1.11,-63.42
f2,b1c2a3,-0.78,-44.91
f2,b1c2a3,0.00,0.00
f2,b1c2a3,0.00,0.00
f2,b1c2a3,0.00,0.00
f2,b1c2a3,0.00,0.00
f2,b1c2a3,0.00,0.00
f2,b1c2a3,0.00,0.00
f2,b1c2a3,0.20,11.34
